,zone,rhythmic
pdia3,Periportal,True
mcfd2,Periportal,True
tst,Pericentral,True
hsd17b4,Pericentral,True
atp2a2,Periportal,True
cml1,Periportal,True
gm2788,Pericentral,True
gjb1,Periportal,True
n4bp2l1,Periportal,True
scamp1,Periportal,True
gne,Pericentral,True
adhfe1,Pericentral,True
dnajc3,Periportal,True
acsl1,Pericentral,True
fbxo21,Pericentral,True
slc25a13,Pericentral,True
slc40a1,Periportal,True
dnajb11,Periportal,True
ethe1,Periportal,True
fdps,Pericentral,True
mgll,Pericentral,True
smarca2,Pericentral,True
mmd,Pericentral,True
hsd17b2,Periportal,True
ppib,Periportal,True
gm14403,Pericentral,True
tars,Periportal,True
c1s1,Periportal,True
slc10a1,Periportal,True
gde1,Pericentral,True
decr2,Pericentral,True
ppa1,Periportal,True
pxdc1,Pericentral,True
pfkfb3,Pericentral,True
pygl,Periportal,True
rxra,Pericentral,True
ubxn4,Pericentral,True
enpp2,Periportal,True
camk2n1,Periportal,True
slc25a10,Pericentral,True
anp32a,Pericentral,True
camk1d,Midzone,True
gfra1,Pericentral,True
pptc7,Periportal,True
serpina6,Pericentral,True
ptp4a2,Pericentral,True
slc30a10,Periportal,True
ctsb,Periportal,True
bbox1,Pericentral,True
sqle,Periportal,True
stra6l,Periportal,True
wbp1l,Periportal,True
anxa7,Pericentral,True
ap3m1,Pericentral,True
tle1,Pericentral,True
efhd2,Pericentral,True
nfix,Pericentral,True
mknk2,Periportal,True
prkd3,Pericentral,True
ubb,Pericentral,True
dbt,Pericentral,True
homer2,Periportal,True
fpgs,Pericentral,True
sco2,Periportal,True
eps8l2,Pericentral,True
proc,Periportal,True
march8,Pericentral,True
rcbtb1,Pericentral,True
pdxk,Pericentral,True
col27a1,Pericentral,True
lman1,Periportal,True
aco2,Periportal,True
haao,Periportal,True
prdx6,Pericentral,True
pklr,Periportal,True
slc4a4,Pericentral,True
tfpi2,Pericentral,True
tubb5,Pericentral,True
deptor,Periportal,True
hadhb,Pericentral,True
hspd1,Pericentral,True
mia3,Pericentral,True
acot12,Pericentral,True
abcg5,Pericentral,True
ogdh,Periportal,True
fam107b,Pericentral,True
prpsap1,Periportal,True
jade1,Periportal,True
plbd2,Periportal,True
fech,Pericentral,True
tspan4,Periportal,True
azin1,Pericentral,True
kif1b,Pericentral,True
rnf5,Pericentral,True
gns,Periportal,True
serinc3,Periportal,True
hacd3,Pericentral,True
zranb2,Pericentral,True
pnpla8,Pericentral,True
mrap,Pericentral,True
xbp1,Periportal,True
uri1,Pericentral,True
tmem176b,Periportal,True
tm4sf4,Periportal,True
abca8a,Periportal,True
hadh,Pericentral,True
fam47e,Periportal,True
gpx4,Pericentral,True
fitm2,Pericentral,True
hes6,Periportal,True
wwp1,Pericentral,True
tfg,Pericentral,True
pglyrp2,Periportal,True
irf7,Periportal,True
slc8b1,Periportal,True
dcun1d1,Pericentral,True
sar1b,Pericentral,True
cry1,Periportal,True
mut,Pericentral,True
ostc,Periportal,True
tapbp,Periportal,True
1600002h07rik,Periportal,True
rbms1,Pericentral,True
mocs1,Pericentral,True
hsdl2,Pericentral,True
sox9,Periportal,True
1810055g02rik,Pericentral,True
plcxd2,Pericentral,True
gss,Periportal,True
aqp11,Periportal,True
tram1,Periportal,True
smoc1,Periportal,True
4732465j04rik,Pericentral,True
lipg,Pericentral,True
ebpl,Pericentral,True
car14,Periportal,True
pomp,Pericentral,True
aox1,Pericentral,True
aspdh,Midzone,True
epas1,Periportal,True
srd5a1,Periportal,True
vdac2,Periportal,True
rbfa,Periportal,True
rap2a,Pericentral,True
ralgapa2,Periportal,True
adora1,Periportal,True
nceh1,Pericentral,True
fam126b,Pericentral,True
naa60,Pericentral,True
dcxr,Pericentral,True
psma1,Pericentral,True
h2afv,Pericentral,True
1110008f13rik,Pericentral,True
wdr26,Pericentral,True
zwint,Pericentral,True
pex5,Pericentral,True
inhba,Periportal,True
psme1,Pericentral,True
aldoa,Periportal,True
nlrp12,Pericentral,True
mafg,Periportal,True
lonp2,Pericentral,True
mydgf,Periportal,True
hmgn1,Pericentral,True
atp6v1e1,Periportal,True
cd82,Periportal,True
tango2,Pericentral,True
wrnip1,Pericentral,True
mmp15,Periportal,True
cgn,Periportal,True
ppargc1a,Periportal,True
slc46a3,Periportal,True
sdr9c7,Periportal,True
trip4,Pericentral,True
sidt2,Periportal,True
clock,Periportal,True
shb,Periportal,True
csrp3,Pericentral,True
rrs1,Pericentral,True
nmrk1,Periportal,True
helz2,Periportal,True
cmas,Pericentral,True
sec23a,Pericentral,True
esrra,Periportal,True
litaf,Periportal,True
sept9,Periportal,True
nav2,Pericentral,True
psmc3,Pericentral,True
fam102a,Pericentral,True
cdk18,Periportal,True
desi2,Periportal,True
ubqln1,Pericentral,True
gpd2,Pericentral,True
apol7a,Pericentral,True
1190002n15rik,Periportal,True
foxn3,Pericentral,True
nploc4,Pericentral,True
cyp2j6,Pericentral,True
pla2g12a,Pericentral,True
tor1b,Periportal,True
aspscr1,Pericentral,True
slc25a20,Pericentral,True
mpp1,Pericentral,True
gm11967,Pericentral,True
mrpl28,Pericentral,True
baiap2l1,Periportal,True
dnajc21,Pericentral,True
dclre1a,Pericentral,True
mapre2,Periportal,True
jak1,Periportal,True
csnk1g2,Periportal,True
rpl7l1,Periportal,True
trim24,Pericentral,True
gabarap,Pericentral,True
cobll1,Pericentral,True
pfkfb1,Pericentral,True
glyr1,Pericentral,True
clip1,Pericentral,True
zfp707,Periportal,True
mad2l2,Periportal,True
fmo2,Pericentral,True
gapvd1,Periportal,True
tpst1,Periportal,True
syt1,Pericentral,True
rasgef1b,Periportal,True
fyttd1,Pericentral,True
slc25a11,Periportal,True
gnl1,Periportal,True
ankrd46,Periportal,True
plekha8,Periportal,True
ube2z,Periportal,True
rfc2,Pericentral,True
tns2,Periportal,True
ttc3,Pericentral,True
1700017b05rik,Periportal,True
htatip2,Pericentral,True
map2k1,Pericentral,True
wwtr1,Pericentral,True
rab32,Periportal,True
celsr1,Periportal,True
9530068e07rik,Periportal,True
fam136a,Pericentral,True
slc35c2,Periportal,True
rras,Periportal,True
slc22a23,Pericentral,True
mul1,Periportal,True
plcg1,Pericentral,True
ybx3,Periportal,True
acot3,Pericentral,True
clptm1l,Pericentral,True
snx9,Pericentral,True
fastk,Periportal,True
enpp1,Pericentral,True
